2024-04- 29 15:03:00: ; Temperatura do LIDAR: 54.75C
2024-04- 29 15:04:00: ; Temperatura interna central: 45.40C
2024-04- 29 15:04:00: ; Temperatura do LIDAR: 55.25C
2024-04- 29 15:05:00: ; Temperatura interna central: 45.00C
2024-04- 29 15:05:00: ; Temperatura do LIDAR: 54.50C
2024-04- 29 15:06:00: ; Temperatura interna central: 44.50C
2024-04- 29 15:06:00: ; Temperatura do LIDAR: 55.00C
2024-04- 29 15:07:00: ; Temperatura interna central: 44.30C
2024-04- 29 15:07:00: ; Temperatura do LIDAR: 55.50C
2024-04- 29 15:08:00: ; Temperatura interna central: 44.10C
2024-04- 29 15:08:00: ; Temperatura do LIDAR: 55.50C
2024-04- 29 15:09:00: ; Temperatura interna central: 44.10C
2024-04- 29 15:09:00: ; Temperatura do LIDAR: 54.75C
2024-04- 29 15:10:00: ; Temperatura interna central: 44.10C
2024-04- 29 15:10:00: ; Temperatura do LIDAR: 55.25C
2024-04- 29 15:11:00: ; Temperatura interna central: 44.00C
2024-04- 29 15:11:00: ; Temperatura do LIDAR: 55.50C
2024-04- 29 15:12:00: ; Temperatura interna central: 44.10C
2024-04- 29 15:12:00: ; Temperatura do LIDAR: 56.00C
2024-04- 29 15:13:00: ; Temperatura interna central: 44.20C
2024-04- 29 15:13:00: ; Temperatura do LIDAR: 56.00C
2024-04- 29 15:14:00: ; Temperatura interna central: 44.30C
2024-04- 29 15:14:00: ; Temperatura do LIDAR: 56.25C
2024-04- 29 15:15:00: ; Temperatura interna central: 44.40C
2024-04- 29 15:15:00: ; Temperatura do LIDAR: 56.00C
2024-04- 29 15:16:00: ; Temperatura interna central: 44.40C
2024-04- 29 15:16:00: ; Temperatura do LIDAR: 55.50C
2024-04- 29 15:17:00: ; Temperatura interna central: 44.50C
2024-04- 29 15:17:00: ; Temperatura do LIDAR: 55.75C
2024-04- 29 15:18:00: ; Temperatura interna central: 44.80C
2024-04- 29 15:18:00: ; Temperatura do LIDAR: 56.00C
2024-04- 29 15:19:00: ; Temperatura interna central: 45.00C
2024-04- 29 15:19:00: ; Temperatura do LIDAR: 57.00C
2024-04- 29 15:20:00: ; Temperatura interna central: 45.30C
2024-04- 29 15:20:00: ; Temperatura do LIDAR: 56.75C
