
2024-04- 29 14:09:48: ; Temperatura interna central: 44.20C
2024-04- 29 14:09:48: ; Temperatura interna lateral: 34.40C
2024-04- 29 14:09:48: ; Temperatura do chassi: 39.50C
2024-04- 29 14:09:48: ; Temperatura do LIDAR: 56.50C
2024-04- 29 14:10:48: ; Temperatura interna central: 44.30C
2024-04- 29 14:10:48: ; Temperatura interna lateral: 35.10C
2024-04- 29 14:10:48: ; Temperatura do chassi: 40.25C
2024-04- 29 14:10:48: ; Temperatura do LIDAR: 57.75C
2024-04- 29 14:11:48: ; Temperatura interna central: 44.50C
2024-04- 29 14:11:48: ; Temperatura interna lateral: 35.80C
2024-04- 29 14:11:48: ; Temperatura do chassi: 41.00C
2024-04- 29 14:11:48: ; Temperatura do LIDAR: 58.25C
2024-04- 29 14:12:48: ; Temperatura interna central: 44.70C
2024-04- 29 14:12:48: ; Temperatura interna lateral: 36.90C
2024-04- 29 14:12:48: ; Temperatura do chassi: 42.25C
2024-04- 29 14:12:48: ; Temperatura do LIDAR: 59.75C
2024-04- 29 14:13:48: ; Temperatura interna central: 45.10C
2024-04- 29 14:13:48: ; Temperatura interna lateral: 37.80C
2024-04- 29 14:13:48: ; Temperatura do chassi: 42.25C
2024-04- 29 14:13:48: ; Temperatura do LIDAR: 58.75C
2024-04- 29 14:14:48: ; Temperatura interna central: 45.80C
2024-04- 29 14:14:48: ; Temperatura interna lateral: 38.10C
2024-04- 29 14:14:48: ; Temperatura do chassi: 42.25C
2024-04- 29 14:14:48: ; Temperatura do LIDAR: 58.50C
2024-04- 29 14:15:48: ; Temperatura interna central: 45.70C
2024-04- 29 14:15:48: ; Temperatura interna lateral: 39.00C
2024-04- 29 14:15:48: ; Temperatura do chassi: 42.50C
2024-04- 29 14:15:48: ; Temperatura do LIDAR: 57.00C
2024-04- 29 14:16:48: ; Temperatura interna central: 45.30C
2024-04- 29 14:16:48: ; Temperatura interna lateral: 39.90C
2024-04- 29 14:16:48: ; Temperatura do chassi: 42.00C
2024-04- 29 14:16:48: ; Temperatura do LIDAR: 57.25C
2024-04- 29 14:17:48: ; Temperatura interna central: 44.70C
2024-04- 29 14:17:48: ; Temperatura interna lateral: 40.50C
2024-04- 29 14:17:48: ; Temperatura do chassi: 42.50C
2024-04- 29 14:17:48: ; Temperatura do LIDAR: 55.50C
2024-04- 29 14:18:48: ; Temperatura interna central: 44.90C
2024-04- 29 14:18:48: ; Temperatura interna lateral: 40.60C
2024-04- 29 14:18:48: ; Temperatura do chassi: 43.00C
2024-04- 29 14:18:48: ; Temperatura do LIDAR: 56.75C
2024-04- 29 14:19:48: ; Temperatura interna central: 45.00C
2024-04- 29 14:19:48: ; Temperatura interna lateral: 40.80C
2024-04- 29 14:19:48: ; Temperatura do chassi: 43.25C
2024-04- 29 14:19:48: ; Temperatura do LIDAR: 57.75C
2024-04- 29 14:20:48: ; Temperatura interna central: 45.00C
2024-04- 29 14:20:48: ; Temperatura interna lateral: 41.10C
2024-04- 29 14:20:48: ; Temperatura do chassi: 43.75C
2024-04- 29 14:20:48: ; Temperatura do LIDAR: 57.75C
2024-04- 29 14:21:48: ; Temperatura interna central: 45.50C
2024-04- 29 14:21:48: ; Temperatura interna lateral: 41.70C
2024-04- 29 14:21:48: ; Temperatura do chassi: 44.50C
2024-04- 29 14:21:48: ; Temperatura do LIDAR: 59.00C
2024-04- 29 14:22:48: ; Temperatura interna central: 45.90C
2024-04- 29 14:22:48: ; Temperatura interna lateral: 42.50C
2024-04- 29 14:22:48: ; Temperatura do chassi: 44.75C
2024-04- 29 14:22:48: ; Temperatura do LIDAR: 59.00C
2024-04- 29 14:23:48: ; Temperatura interna central: 46.30C
2024-04- 29 14:23:48: ; Temperatura interna lateral: 43.20C
2024-04- 29 14:23:48: ; Temperatura do chassi: 46.00C
2024-04- 29 14:23:48: ; Temperatura do LIDAR: 61.50C
2024-04- 29 14:24:48: ; Temperatura interna central: 46.70C
2024-04- 29 14:24:48: ; Temperatura interna lateral: 43.90C
2024-04- 29 14:24:48: ; Temperatura do chassi: 46.50C
2024-04- 29 14:24:48: ; Temperatura do LIDAR: 62.00C
2024-04- 29 14:25:48: ; Temperatura interna central: 47.20C
2024-04- 29 14:25:48: ; Temperatura interna lateral: 44.50C
2024-04- 29 14:25:48: ; Temperatura do chassi: 46.50C
2024-04- 29 14:25:48: ; Temperatura do LIDAR: 61.00C
2024-04- 29 14:26:48: ; Temperatura interna central: 47.60C
2024-04- 29 14:26:48: ; Temperatura interna lateral: 45.00C
2024-04- 29 14:26:48: ; Temperatura do chassi: 46.25C
2024-04- 29 14:26:48: ; Temperatura do LIDAR: 61.00C
2024-04- 29 14:27:48: ; Temperatura interna central: 48.10C
2024-04- 29 14:27:48: ; Temperatura interna lateral: 45.10C
2024-04- 29 14:27:48: ; Temperatura do chassi: 46.50C
2024-04- 29 14:27:48: ; Temperatura do LIDAR: 60.75C
2024-04- 29 14:28:48: ; Temperatura interna central: 48.50C
2024-04- 29 14:28:48: ; Temperatura interna lateral: 44.90C
2024-04- 29 14:28:48: ; Temperatura do chassi: 46.75C
2024-04- 29 14:28:48: ; Temperatura do LIDAR: 60.75C
2024-04- 29 14:29:48: ; Temperatura interna central: 48.60C
2024-04- 29 14:29:48: ; Temperatura interna lateral: 44.90C
2024-04- 29 14:29:48: ; Temperatura do chassi: 47.00C
2024-04- 29 14:29:48: ; Temperatura do LIDAR: 60.50C
2024-04- 29 14:30:48: ; Temperatura interna central: 48.80C
2024-04- 29 14:30:48: ; Temperatura interna lateral: 44.90C
2024-04- 29 14:30:48: ; Temperatura do chassi: 47.25C
2024-04- 29 14:30:48: ; Temperatura do LIDAR: 60.50C
2024-04- 29 14:31:48: ; Temperatura interna central: 49.10C
2024-04- 29 14:31:48: ; Temperatura interna lateral: 45.00C
2024-04- 29 14:31:48: ; Temperatura do chassi: 46.50C
2024-04- 29 14:31:48: ; Temperatura do LIDAR: 61.25C
2024-04- 29 14:32:48: ; Temperatura interna central: 49.30C
2024-04- 29 14:32:48: ; Temperatura interna lateral: 44.90C
2024-04- 29 14:32:48: ; Temperatura do chassi: 46.75C
2024-04- 29 14:32:48: ; Temperatura do LIDAR: 61.50C
2024-04- 29 14:33:48: ; Temperatura interna central: 49.50C
2024-04- 29 14:33:48: ; Temperatura interna lateral: 45.00C
2024-04- 29 14:33:48: ; Temperatura do chassi: 46.75C
2024-04- 29 14:33:48: ; Temperatura do LIDAR: 62.00C
2024-04- 29 14:34:48: ; Temperatura interna central: 49.70C
2024-04- 29 14:34:48: ; Temperatura interna lateral: 45.00C
2024-04- 29 14:34:48: ; Temperatura do chassi: 46.50C
2024-04- 29 14:34:48: ; Temperatura do LIDAR: 61.50C
2024-04- 29 14:35:48: ; Temperatura interna central: 49.40C
2024-04- 29 14:35:48: ; Temperatura interna lateral: 44.70C
2024-04- 29 14:35:48: ; Temperatura do chassi: 46.75C
2024-04- 29 14:35:48: ; Temperatura do LIDAR: 62.25C
