2024-04- 25 12:11:52: ; Temperatura do LIDAR: 44.50C
2024-04- 25 12:12:52: ; Temperatura interna central: 35.20C
2024-04- 25 12:12:52: ; Temperatura do LIDAR: 44.00C
2024-04- 25 12:13:52: ; Temperatura interna central: 35.20C
2024-04- 25 12:13:52: ; Temperatura do LIDAR: 44.75C
2024-04- 25 12:14:52: ; Temperatura interna central: 35.20C
2024-04- 25 12:14:52: ; Temperatura do LIDAR: 44.75C
2024-04- 25 12:15:52: ; Temperatura interna central: 35.20C
2024-04- 25 12:15:52: ; Temperatura do LIDAR: 44.75C
2024-04- 25 12:16:52: ; Temperatura interna central: 35.20C
2024-04- 25 12:16:52: ; Temperatura do LIDAR: 45.00C
2024-04- 25 12:17:52: ; Temperatura interna central: 35.20C
2024-04- 25 12:17:52: ; Temperatura do LIDAR: 44.50C
2024-04- 25 12:18:52: ; Temperatura interna central: 35.20C
2024-04- 25 12:18:52: ; Temperatura do LIDAR: 44.50C
2024-04- 25 12:19:52: ; Temperatura interna central: 35.10C
2024-04- 25 12:19:52: ; Temperatura do LIDAR: 44.50C
2024-04- 25 12:20:52: ; Temperatura interna central: 35.10C
2024-04- 25 12:20:52: ; Temperatura do LIDAR: 44.50C
2024-04- 25 12:21:52: ; Temperatura interna central: 35.10C
2024-04- 25 12:21:52: ; Temperatura do LIDAR: 44.25C
2024-04- 25 12:23:14: ; Temperatura interna central: 35.10C
2024-04- 25 12:23:14: ; Temperatura do LIDAR: 45.00C
2024-04- 25 12:24:14: ; Temperatura interna central: 35.20C
2024-04- 25 12:24:14: ; Temperatura do LIDAR: 45.00C
2024-04- 25 12:25:14: ; Temperatura interna central: 35.30C
2024-04- 25 12:25:14: ; Temperatura do LIDAR: 45.00C
2024-04- 25 12:26:14: ; Temperatura interna central: 35.40C
2024-04- 25 12:26:14: ; Temperatura do LIDAR: 45.00C
2024-04- 25 12:27:14: ; Temperatura interna central: 35.40C
2024-04- 25 12:27:14: ; Temperatura do LIDAR: 45.25C
2024-04- 25 12:28:14: ; Temperatura interna central: 35.50C
2024-04- 25 12:28:14: ; Temperatura do LIDAR: 45.25C
2024-04- 25 12:29:14: ; Temperatura interna central: 35.50C
2024-04- 25 12:29:14: ; Temperatura do LIDAR: 45.25C
2024-04- 25 12:30:14: ; Temperatura interna central: 35.50C
2024-04- 25 12:30:14: ; Temperatura do LIDAR: 44.75C
2024-04- 25 12:31:14: ; Temperatura interna central: 35.60C
2024-04- 25 12:31:14: ; Temperatura do LIDAR: 45.25C
2024-04- 25 12:32:14: ; Temperatura interna central: 35.50C
2024-04- 25 12:32:14: ; Temperatura do LIDAR: 45.25C
2024-04- 25 12:33:14: ; Temperatura interna central: 35.50C
2024-04- 25 12:33:14: ; Temperatura do LIDAR: 45.00C
2024-04- 25 12:34:14: ; Temperatura interna central: 35.50C
2024-04- 25 12:34:14: ; Temperatura do LIDAR: 45.00C
2024-04- 25 12:35:14: ; Temperatura interna central: 35.50C
2024-04- 25 12:35:14: ; Temperatura do LIDAR: 44.75C
2024-04- 25 12:36:14: ; Temperatura interna central: 35.50C
2024-04- 25 12:36:14: ; Temperatura do LIDAR: 44.50C
2024-04- 25 12:37:14: ; Temperatura interna central: 35.40C
2024-04- 25 12:37:14: ; Temperatura do LIDAR: 44.75C
2024-04- 25 12:38:14: ; Temperatura interna central: 35.40C
2024-04- 25 12:38:14: ; Temperatura do LIDAR: 44.50C
2024-04- 25 12:39:14: ; Temperatura interna central: 35.40C
2024-04- 25 12:39:14: ; Temperatura do LIDAR: 45.00C
2024-04- 25 12:40:14: ; Temperatura interna central: 35.40C
2024-04- 25 12:40:14: ; Temperatura do LIDAR: 44.75C
2024-04- 25 12:41:14: ; Temperatura interna central: 35.20C
2024-04- 25 12:41:14: ; Temperatura do LIDAR: 44.75C
2024-04- 25 12:42:14: ; Temperatura interna central: 35.20C
2024-04- 25 12:42:14: ; Temperatura do LIDAR: 44.75C
2024-04- 25 12:43:14: ; Temperatura interna central: 35.20C
2024-04- 25 12:43:14: ; Temperatura do LIDAR: 44.00C
2024-04- 25 12:44:14: ; Temperatura interna central: 35.10C
2024-04- 25 12:44:14: ; Temperatura do LIDAR: 44.50C
2024-04- 25 12:45:14: ; Temperatura interna central: 35.10C
2024-04- 25 12:45:14: ; Temperatura do LIDAR: 44.75C
2024-04- 25 12:46:14: ; Temperatura interna central: 35.10C
2024-04- 25 12:46:14: ; Temperatura do LIDAR: 44.25C
2024-04- 25 12:47:14: ; Temperatura interna central: 35.10C
2024-04- 25 12:47:14: ; Temperatura do LIDAR: 43.75C
2024-04- 25 12:48:14: ; Temperatura interna central: 35.00C
2024-04- 25 12:48:14: ; Temperatura do LIDAR: 44.00C
2024-04- 25 12:49:14: ; Temperatura interna central: 35.00C
